LP001003,Graduate,4583,128,360,N
LP001005,Graduate,3000,66,360,Y
LP001006,Not Graduate,2583,120,360,Y
LP001008,Graduate,6000,141,360,Y
LP001011,Graduate,5417,267,360,Y
LP001013,Not Graduate,2333,95,360,Y
LP001014+,Graduate,3036,158,360,N
LP001018,Graduate,4006,168,360,Y
LP001020,Graduate,12841,349,360,N
LP001024,Graduate,3200,70,360,Y
LP001028,Graduate,3073,200,360,Y
LP001029,Graduate,1853,114,360,N
LP001030,Graduate,1299,17,120,Y
LP001032,Graduate,4950,125,360,Y
LP001036,Graduate,3510,76,360,N
LP001038,Not Graduate,4887,133,360,N
LP001043,Not Graduate,7660,104,360,N
LP001046,Graduate,5955,315,360,Y
LP001047,Not Graduate,2600,116,360,N
LP001066,Graduate,9560,191,360,Y
LP001068,Graduate,2799,122,360,Y
LP001073,Not Graduate,4226,110,360,Y
LP001086,Not Graduate,1442,35,360,N
LP001095,Graduate,3167,74,360,N
LP001097,Graduate,4692,106,360,N
LP001098,Graduate,3500,114,360,Y
LP001100+,Graduate,12500,320,360,N
LP001112,Graduate,3667,144,360,Y
LP001114,Graduate,4166,184,360,Y
LP001116,Not Graduate,3748,110,360,Y
LP001119,Graduate,3600,80,360,N
LP001120,Graduate,1800,47,360,Y
LP001131,Graduate,3941,134,360,Y
LP001138,Graduate,5649,44,360,Y
LP001144,Graduate,5821,144,360,Y
LP001146,Graduate,2645,120,360,N
LP001151,Graduate,4000,144,360,Y
LP001155,Not Graduate,1928,100,360,Y
LP001157,Graduate,3086,120,360,Y
LP001164,Graduate,4230,112,360,N
LP001179,Graduate,4616,134,360,N
LP001186,Graduate,11500,286,360,N
LP001194,Graduate,2708,97,360,Y
LP001195,Graduate,2132,96,360,Y
LP001197,Graduate,3366,135,360,N
LP001198,Graduate,8080,180,360,Y
LP001199,Not Graduate,3357,144,360,Y
LP001205,Graduate,2500,120,360,Y
LP001206+,Graduate,3029,99,360,Y
LP001207,Not Graduate,2609,165,180,N
LP001222,Graduate,4166,116,360,N
LP001225,Graduate,5726,258,360,N
LP001228,Not Graduate,3200,126,180,N
LP001233,Graduate,10750,312,360,Y
LP001238+,Not Graduate,7100,125,60,Y
LP001241,Graduate,4300,136,360,N
LP001243,Graduate,3208,172,360,Y
LP001245,Not Graduate,1875,97,360,Y
LP001248,Graduate,3500,81,300,Y
LP001253+,Graduate,5266,187,360,Y
LP001255,Graduate,3750,113,480,N
LP001256,Graduate,3750,176,360,N
LP001259,Graduate,1000,110,360,N
LP001263+,Graduate,3167,180,300,N
LP001265,Graduate,3846,111,360,Y
LP001267,Graduate,1378,167,360,N
LP001275,Graduate,3988,50,240,Y
LP001279,Graduate,2366,136,360,Y
LP001282,Graduate,2500,104,360,Y
LP001289,Graduate,8566,210,360,Y
LP001310,Graduate,5695,175,360,Y
LP001316,Graduate,2958,131,360,Y
LP001318,Graduate,6250,188,180,Y
LP001319,Not Graduate,3273,81,360,Y
LP001322,Graduate,4133,122,360,Y
LP001325,Not Graduate,3620,25,120,Y
LP001327,Graduate,2484,137,360,Y
LP001333,Graduate,1977,50,360,Y
LP001334,Not Graduate,4188,115,180,Y
LP001343,Graduate,1759,131,360,Y
LP001345,Not Graduate,4288,133,180,Y
LP001349,Graduate,4843,151,360,Y
LP001367,Graduate,3052,100,360,Y
LP001369,Graduate,11417,225,360,Y
LP001379,Graduate,3800,216,360,N
LP001384+,Not Graduate,2071,94,480,Y
LP001385,Graduate,5316,136,360,Y
LP001401,Graduate,14583,185,180,Y
LP001404,Graduate,3167,154,360,Y
LP001421,Graduate,5568,175,360,N
LP001422,Graduate,10408,259,360,Y
LP001430,Graduate,4166,44,360,Y
LP001431,Graduate,2137,137,360,Y
LP001432,Graduate,2957,81,360,Y
LP001439,Not Graduate,4300,194,360,Y
LP001451,Graduate,10513,160,180,N
LP001473,Graduate,2014,74,360,Y
LP001478,Graduate,2718,70,360,Y
LP001482,Graduate,3459,25,120,Y
LP001487,Graduate,4895,102,360,Y
LP001488+,Graduate,4000,290,360,N
LP001489,Graduate,4583,84,360,N
LP001491,Graduate,3316,88,360,Y
LP001492,Graduate,14999,242,360,N
LP001493,Not Graduate,4200,129,360,N
LP001497,Graduate,5042,185,360,N
LP001498,Graduate,5417,168,360,Y
LP001504,Graduate,6950,175,180,Y
LP001507,Graduate,2698,122,360,Y
LP001508,Graduate,11757,187,180,Y
LP001514,Graduate,2330,100,360,Y
LP001516,Graduate,14866,70,360,Y
LP001518,Graduate,1538,30,360,Y
LP001519,Graduate,10000,225,360,N
LP001520,Graduate,4860,125,360,Y
LP001528,Graduate,6277,118,360,N
LP001529,Graduate,2577,152,360,Y
LP001531,Graduate,9166,244,360,N
LP001532,Not Graduate,2281,113,360,N
LP001535,Graduate,3254,50,360,Y
LP001536+,Graduate,39999,600,180,Y
LP001543,Graduate,9538,187,360,Y
LP001552,Graduate,4583,255,360,Y
LP001560,Not Graduate,1863,98,360,Y
LP001562,Graduate,7933,275,360,N
LP001565,Graduate,3089,121,360,N
LP001570,Graduate,4167,158,360,Y
LP001572,Graduate,9323,75,180,Y
LP001577,Graduate,4583,112,360,N
LP001578,Graduate,2439,129,360,Y
LP001579,Graduate,2237,63,480,N
LP001580,Graduate,8000,200,360,Y
LP001586+,Not Graduate,3522,81,180,N
LP001594,Graduate,5708,187,360,Y
LP001603,Not Graduate,4344,87,360,N
LP001606,Graduate,3497,116,360,Y
LP001608,Graduate,2045,101,360,Y
LP001610+,Graduate,5516,495,360,N
LP001616,Graduate,3750,116,360,Y
LP001630,Not Graduate,2333,102,480,N
LP001633,Graduate,6400,180,360,N
LP001636,Graduate,4600,73,180,Y
LP001637,Graduate,33846,260,360,N
LP001639,Graduate,3625,108,360,Y
LP001640,Graduate,39147,120,360,Y
LP001641,Graduate,2178,66,300,N
LP001647,Graduate,9328,188,180,Y
LP001653,Not Graduate,4885,48,360,Y
LP001656,Graduate,12000,164,360,N
LP001657,Not Graduate,6033,160,360,N
LP001658,Graduate,3858,76,360,Y
LP001664,Graduate,4191,120,360,Y
LP001665,Graduate,3125,170,360,N
LP001666,Graduate,8333,187,360,Y
LP001673,Graduate,11000,83,360,N
LP001674,Not Graduate,2600,90,360,Y
LP001677,Graduate,4923,166,360,Y
LP001688,Not Graduate,3500,135,360,Y
LP001691,Not Graduate,3917,124,360,Y
LP001692,Not Graduate,4408,120,360,Y
LP001693,Graduate,3244,80,360,Y
LP001698,Not Graduate,3975,55,360,Y
LP001699,Graduate,2479,59,360,Y
LP001702,Graduate,3418,127,360,N
LP001708,Graduate,10000,214,360,N
LP001711+,Graduate,3430,128,360,N
LP001713,Graduate,7787,240,360,Y
LP001715+,Not Graduate,5703,130,360,Y
LP001716,Graduate,3173,137,360,Y
LP001720+,Not Graduate,3850,100,360,Y
LP001722,Graduate,150,135,360,N
LP001726,Graduate,3727,131,360,Y
LP001736,Graduate,2221,60,360,N
LP001743,Graduate,4009,116,360,Y
LP001744,Graduate,2971,144,360,Y
LP001750,Graduate,6250,128,360,Y
LP001751,Graduate,3250,170,360,N
LP001758,Graduate,6250,210,360,Y
LP001761,Graduate,6400,200,360,Y
LP001765,Graduate,2491,104,360,Y
LP001776,Graduate,8333,280,360,Y
LP001778,Graduate,3155,140,360,Y
LP001784,Graduate,5500,170,360,Y
LP001790,Graduate,3812,112,360,Y
LP001792,Graduate,3315,96,360,Y
LP001798,Graduate,5819,120,360,Y
LP001800,Not Graduate,2510,140,180,N
LP001806,Graduate,2965,155,60,Y
LP001807,Graduate,6250,108,360,Y
LP001811,Not Graduate,3406,123,360,Y
LP001813,Graduate,6050,120,180,N
LP001814,Graduate,9703,112,360,Y
LP001819,Not Graduate,6608,137,180,Y
LP001824,Graduate,2882,123,480,Y
LP001825,Graduate,1809,90,360,Y
LP001835,Not Graduate,1668,201,360,N
LP001836,Graduate,3427,138,360,N
LP001841,Not Graduate,2583,104,360,Y
LP001843,Not Graduate,2661,279,180,Y
LP001844,Graduate,16250,192,360,N
LP001846+,Graduate,3083,255,360,Y
LP001849,Not Graduate,6045,115,360,N
LP001854+,Graduate,5250,94,360,N
LP001859,Graduate,14683,304,360,N
LP001868,Graduate,2060,134,360,Y
LP001870,Graduate,3481,155,36,N
LP001871,Graduate,7200,120,360,Y
LP001872,Graduate,5166,128,360,Y
LP001875,Graduate,4095,151,360,Y
LP001877,Graduate,4708,150,360,Y
LP001882+,Graduate,4333,160,360,Y
LP001884,Graduate,2876,90,360,Y
LP001888,Graduate,3237,30,360,Y
LP001891,Graduate,11146,136,360,Y
LP001892,Graduate,2833,126,360,Y
LP001894,Graduate,2620,150,360,Y
LP001896,Graduate,3900,90,360,Y
LP001900,Graduate,2750,115,360,Y
